rank,node_id,label,raw_score,normalized_score
1,155,dailykos.com,0.017938345030230715,0.017938345030230715
2,55,atrios.blogspot.com,0.01522403209394382,0.01522403209394382
3,1051,instapundit.com,0.01262023482150201,0.01262023482150201
4,855,blogsforbush.com,0.012486801262277006,0.012486801262277006
5,641,talkingpointsmemo.com,0.01243037436193124,0.01243037436193124
6,1153,michellemalkin.com,0.010905973260567412,0.010905973260567412
7,963,drudgereport.com,0.010707637653138138,0.010707637653138138
8,729,washingtonmonthly.com,0.010542306390196843,0.010542306390196843
9,1245,powerlineblog.com,0.00893161191664162,0.00893161191664162
10,798,andrewsullivan.com,0.008610562212520422,0.008610562212520422
